Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2038M,,,Name:,CBGPS 011004428,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/17/2024 16:29,,,Model:,CBGPS,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,011004428,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,1.00,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 3A,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2038.2,0.0,00:07:19.0,00:01:47.8,4.64,00:00:00.0,0.00,34.5,251,8.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0436133,-84.2013444


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2038.2,0.0,00:07:19.0,00:01:47.8,4.64,00:00:00.0,0.00,34.5,251,8.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0436133,-84.2013444



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.4,0.0,00:00:01.0,00:05:03.0,1.65,00:00:00.0,0.00,59.0,1,1.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0436133,-84.2013444
1,4.5,0.0,00:00:02.7,00:05:01.2,1.66,00:00:00.0,0.00,66.5,2,3.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0435890,-84.2013266
1,11.4,0.0,00:00:04.4,00:03:33.7,2.34,00:00:00.0,0.00,34.0,3,6.9,0.0,---,---,---,---,---,---,---,---,---,---,36.0435371,-84.2012850
1,17.8,0.0,00:00:06.0,00:02:38.2,3.16,00:00:00.0,0.00,35.5,4,6.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0434903,-84.2012441
1,25.9,0.0,00:00:07.8,00:02:10.5,3.83,00:00:00.0,0.00,36.5,5,8.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0434329,-84.2011884
1,33.5,0.0,00:00:09.4,00:01:56.8,4.28,00:00:00.0,0.00,37.0,6,7.6,0.0,---,---,---,---,---,---,---,---,---,---,36.0433802,-84.2011354
1,41.3,0.0,00:00:11.0,00:01:50.1,4.54,00:00:00.0,0.00,36.5,7,7.8,0.0,---,---,---,---,---,---,---,---,---,---,36.0433263,-84.2010793
1,49.3,0.0,00:00:12.6,00:01:43.9,4.81,00:00:00.0,0.00,37.0,8,8.0,0.0,---,---,---,---,---,---,---,---,---,---,36.0432718,-84.2010213
1,57.3,0.0,00:00:14.2,00:01:39.8,5.01,00:00:00.0,0.00,37.5,9,8.0,0.0,---,---,---,---,---,---,---,---,---,---,36.0432167,-84.2009639
1,65.5,0.0,00:00:15.8,00:01:37.8,5.11,00:00:00.0,0.00,36.5,10,8.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0431601,-84.2009066
1,73.7,0.0,00:00:17.7,00:01:36.5,5.18,00:00:00.0,0.00,37.0,11,8.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0431026,-84.2008486
1,83.0,0.0,00:00:19.2,00:01:37.1,5.15,00:00:00.0,0.00,37.5,12,9.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0430389,-84.2007825
1,90.0,0.0,00:00:20.8,00:01:37.3,5.14,00:00:00.0,0.00,36.0,13,7.0,0.0,---,---,---,---,---,---,---,---,---,---,36.0429904,-84.2007333
1,99.3,0.0,00:00:22.4,00:01:39.2,5.04,00:00:00.0,0.00,37.0,14,9.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0429259,-84.2006672
1,107.5,0.0,00:00:24.0,00:01:39.6,5.02,00:00:00.0,0.00,35.5,15,8.2,0.0,---,---,---,---,---,---,---,---,---,---,36.0428697,-84.2006086
1,115.6,0.0,00:00:25.6,00:01:39.8,5.01,00:00:00.0,0.00,36.0,16,8.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0428135,-84.2005504
1,124.9,0.0,00:00:27.4,00:01:39.6,5.02,00:00:00.0,0.00,37.0,17,9.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0427494,-84.2004841
1,133.1,0.0,00:00:29.0,00:01:39.8,5.01,00:00:00.0,0.00,36.0,18,8.2,0.0,---,---,---,---,---,---,---,---,---,---,36.0426925,-84.2004266
1,141.1,0.0,00:00:30.6,00:01:38.2,5.09,00:00:00.0,0.00,35.5,19,8.0,0.0,---,---,---,---,---,---,---,---,---,---,36.0426369,-84.2003701
1,150.3,0.0,00:00:32.7,00:01:37.3,5.14,00:00:00.0,0.00,36.0,20,9.1,0.0,---,---,---,---,---,---,---,---,---,---,36.0425739,-84.2003053
1,158.3,0.0,00:00:34.0,00:01:37.5,5.13,00:00:00.0,0.00,36.0,21,8.0,0.0,---,---,---,---,---,---,---,---,---,---,36.0425188,-84.2002482
1,165.1,0.0,00:00:35.7,00:01:37.3,5.14,00:00:00.0,0.00,37.0,22,6.9,0.0,---,---,---,---,---,---,---,---,---,---,36.0424711,-84.2002001
1,175.4,0.0,00:00:37.4,00:01:39.4,5.03,00:00:00.0,0.00,35.5,23,10.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0423997,-84.2001271
1,183.3,0.0,00:00:39.0,00:01:39.8,5.01,00:00:00.0,0.00,35.5,24,7.9,0.0,---,---,---,---,---,---,---,---,---,---,36.0423446,-84.2000713
1,192.3,0.0,00:00:40.8,00:01:41.0,4.95,00:00:00.0,0.00,35.5,25,8.9,0.0,---,---,---,---,---,---,---,---,---,---,36.0422831,-84.2000076
1,200.0,0.0,00:00:42.4,00:01:42.0,4.90,00:00:00.0,0.00,34.0,26,7.7,0.0,---,---,---,---,---,---,---,---,---,---,36.0422300,-84.1999530
1,208.7,0.0,00:00:44.2,00:01:43.5,4.83,00:00:00.0,0.00,34.0,27,8.7,0.0,---,---,---,---,---,---,---,---,---,---,36.0421696,-84.1998913
1,217.3,0.0,00:00:46.0,00:01:42.9,4.86,00:00:00.0,0.00,34.0,28,8.7,0.0,---,---,---,---,---,---,---,---,---,---,36.0421094,-84.1998303
1,223.9,0.0,00:00:47.7,00:01:42.5,4.88,00:00:00.0,0.00,34.0,29,6.5,0.0,---,---,---,---,---,---,---,---,---,---,36.0420640,-84.1997846
1,233.8,0.0,00:00:49.4,00:01:44.6,4.78,00:00:00.0,0.00,34.0,30,9.9,0.0,---,---,---,---,---,---,---,---,---,---,36.0419950,-84.1997152
1,242.6,0.0,00:00:51.2,00:01:43.9,4.81,00:00:00.0,0.00,34.0,31,8.8,0.0,---,---,---,---,---,---,---,---,---,---,36.0419331,-84.1996541
1,251.4,0.0,00:00:53.0,00:01:44.8,4.77,00:00:00.0,0.00,34.0,32,8.8,0.0,---,---,---,---,---,---,---,---,---,---,36.0418722,-84.1995920
1,259.9,0.0,00:00:54.8,00:01:44.2,4.80,00:00:00.0,0.00,32.5,33,8.6,0.0,---,---,---,---,---,---,---,---,---,---,36.0418135,-84.1995305
1,267.3,0.0,00:00:56.6,00:01:43.5,4.83,00:00:00.0,0.00,34.0,34,7.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0417630,-84.1994775
1,277.0,0.0,00:00:58.4,00:01:45.3,4.75,00:00:00.0,0.00,32.5,35,9.7,0.0,---,---,---,---,---,---,---,---,---,---,36.0416974,-84.1994073
1,285.6,0.0,00:01:00.2,00:01:45.5,4.74,00:00:00.0,0.00,32.5,36,8.6,0.0,---,---,---,---,---,---,---,---,---,---,36.0416383,-84.1993458
1,294.0,0.0,00:01:02.0,00:01:46.4,4.70,00:00:00.0,0.00,33.0,37,8.5,0.0,---,---,---,---,---,---,---,---,---,---,36.0415793,-84.1992862
1,302.6,0.0,00:01:03.8,00:01:44.8,4.77,00:00:00.0,0.00,33.5,38,8.6,0.0,---,---,---,---,---,---,---,---,---,---,36.0415198,-84.1992261
1,309.9,0.0,00:01:05.7,00:01:44.8,4.77,00:00:00.0,0.00,33.0,39,7.3,0.0,---,---,---,---,---,---,---,---,---,---,36.0414690,-84.1991752
1,319.4,0.0,00:01:07.4,00:01:47.8,4.64,00:00:00.0,0.00,32.5,40,9.5,0.0,---,---,---,---,---,---,---,---,---,---,36.0414022,-84.1991095
1,327.8,0.0,00:01:09.2,00:01:47.5,4.65,00:00:00.0,0.00,33.5,41,8.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0413429,-84.1990510
1,336.3,0.0,00:01:11.0,00:01:48.7,4.60,00:00:00.0,0.00,32.5,42,8.5,0.0,---,---,---,---,---,---,---,---,---,---,36.0412835,-84.1989920
1,344.7,0.0,00:01:12.8,00:01:47.5,4.65,00:00:00.0,0.00,33.0,43,8.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0412252,-84.1989332
1,351.9,0.0,00:01:14.7,00:01:47.5,4.65,00:00:00.0,0.00,33.5,44,7.2,0.0,---,---,---,---,---,---,---,---,---,---,36.0411746,-84.1988829
1,361.3,0.0,00:01:16.4,00:01:49.9,4.55,00:00:00.0,0.00,33.0,45,9.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0411087,-84.1988175
1,369.7,0.0,00:01:18.2,00:01:48.7,4.60,00:00:00.0,0.00,33.5,46,8.4,0.0,---,---,---,---,---,---,---,---,---,---,36.0410507,-84.1987587
